segment,anomaly,Signal_Health,train,channel,sampling,duration,Duration_Category,len,mean,var,Variance_Level,std,kurtosis,skew,n_peaks,Engineering_Priority,Peak_Complexity,smooth10_n_peaks,smooth20_n_peaks,diff_peaks,diff2_peaks,diff_var,diff2_var,gaps_squared,len_weighted,var_div_duration,var_div_len
398,0,Healthy,1,CADC0884,5,390,Long,79,0.6617712658227848,0.055461159273460986,High,0.23550193050898965,-1.513227986916391,0.06437050302714202,1,Medium,Simple,1,1,10,26,3.8942783695940193E-4,7.787275441288625E-5,1950,395,1.4220810070118202E-4,7.020399908033037E-4
399,0,Healthy,1,CADC0884,5,415,Long,84,0.6665397619047619,0.047813443022776646,Medium,0.21866285240702557,-1.452361685073876,0.15094642660589566,1,Medium,Simple,1,1,19,30,3.108578978557119E-4,7.666021134220684E-5,2075,420,1.1521311571753409E-4,5.692076550330553E-4
400,0,Healthy,1,CADC0884,5,400,Long,81,0.6735073086419754,0.04392489611912696,Medium,0.2095826713235781,-1.4956732701777244,0.11744258854213169,1,Medium,Simple,1,1,12,22,2.9823457754000007E-4,7.612989546931605E-5,2000,405,1.0981224029781741E-4,5.422826681373699E-4
401,0,Healthy,1,CADC0884,5,420,Long,85,0.6561139176470588,0.0665878981825697,High,0.25804631015104573,-1.3263800979788267,0.04414483715189817,1,Medium,Simple,1,1,10,30,3.9760215606235834E-4,8.379354092611414E-5,2100,425,1.5854261472040404E-4,7.833870374419965E-4
402,0,Healthy,1,CADC0884,5,410,Long,83,0.6200768072289158,0.10528657596102309,High,0.32447892991845106,-1.434496038898301,-0.001954985024186661,1,Medium,Simple,1,1,9,27,6.303136142250148E-4,7.152998474074069E-5,2050,415,2.5679652673420264E-4,0.0012685129633858204
403,0,Healthy,0,CADC0884,5,420,Long,85,0.5966631764705883,0.10696036801995712,High,0.32704795981622803,-1.4554809826762758,0.08692966808595075,1,Medium,Simple,1,1,9,27,6.291793368350341E-4,8.785212461634484E-5,2100,425,2.546675429046598E-4,0.001258357270823025
404,0,Healthy,1,CADC0884,5,470,Long,95,0.5679791894736842,0.10414205942305883,High,0.3227104885544609,-1.448538007907685,0.2260704487578738,1,Medium,Simple,1,1,11,30,4.993695931313942E-4,5.417213963232723E-5,2350,475,2.2157884983629538E-4,0.001096232204453251
405,0,Healthy,1,CADC0884,5,435,Long,88,0.5860178522727272,0.10276098923871681,High,0.3205635494542647,-1.4254002022515593,0.17789512489251685,1,Medium,Simple,1,1,12,27,5.758903447356322E-4,6.924838912128199E-5,2175,440,2.3623215916946392E-4,0.0011677385140763273
406,0,Healthy,0,CADC0884,5,415,Long,84,0.635993238095238,0.10592746557587188,High,0.32546499900276815,-1.4902051918917674,0.08016432626097458,1,Medium,Simple,1,1,14,27,6.367964316934242E-4,6.77657915823914E-5,2075,420,2.552469050021009E-4,0.0012610412568556176
407,0,Healthy,1,CADC0884,5,420,Long,85,0.6236049529411765,0.09284978427091543,High,0.3047126257162893,-1.430979181533028,0.17225258949996558,1,Medium,Simple,1,1,17,25,5.632126268201531E-4,8.099334141529969E-5,2100,425,2.2107091493075103E-4,0.0010923504031872405
408,0,Healthy,1,CADC0884,5,430,Long,87,0.6669478160919541,0.10131513200769032,High,0.318300380156371,-1.376501398040142,0.16785862995337744,1,Medium,Simple,1,1,18,31,6.038152626231746E-4,1.4270841010297522E-4,2150,435,2.356165860643961E-4,0.0011645417472148313
409,0,Healthy,1,CADC0884,5,475,Long,96,0.6521156458333333,0.13819163266218706,High,0.37174135183240925,-1.4756566402458657,0.1907923963255202,1,Medium,Simple,1,1,15,30,6.716232959406095E-4,1.3858794826946576E-4,2375,480,2.909297529730254E-4,0.0014394961735644486
410,0,Healthy,0,CADC0884,5,425,Long,86,0.6502747360465115,0.1473094162368086,High,0.3838090882676029,-1.4524084074348282,0.040448626747738005,2,Medium,Moderate,1,1,13,29,8.675798331117703E-4,1.5493514447288557E-4,2125,430,3.46610391145432E-4,0.0017129001888001
411,0,Healthy,1,CADC0884,5,470,Long,95,0.5874935810526315,0.15371905728258828,High,0.3920702198364322,-1.4370423119077587,0.20356454051111994,1,Medium,Simple,1,1,8,28,7.312009433493845E-4,8.17934752120246E-5,2350,475,3.2706182400550697E-4,0.0016180953398167188
412,0,Healthy,1,CADC0884,5,455,Long,92,0.5975520869565218,0.13282510177199244,High,0.36445178250626303,-1.4415979032476882,0.17600723618622235,1,Medium,Simple,1,1,15,32,6.814380487016061E-4,1.1277422636111108E-4,2275,460,2.9192330059778557E-4,0.001443751106217309
413,0,Healthy,1,CADC0884,5,465,Long,94,0.5350706468085107,0.13473570721713246,High,0.36706362829505795,-1.3688293876040987,0.29371499160522113,1,Medium,Simple,1,1,14,26,7.193229305416025E-4,2.1940350652603058E-4,2325,470,2.8975420906910207E-4,0.0014333585874163027
414,0,Healthy,1,CADC0884,5,475,Long,96,0.5333816947916666,0.16099452552580987,High,0.40124123108899196,-1.4295716879152995,0.18629474591547981,1,Medium,Simple,1,1,9,27,7.575405887142091E-4,7.769318136356368E-5,2375,480,3.389358432122313E-4,0.0016770263075605195
415,0,Healthy,0,CADC0884,5,480,Long,97,0.4914537226804124,0.17536904067122175,High,0.4187708689381602,-1.5059650271599396,0.18775221073115422,1,Medium,Simple,1,1,12,26,8.440116745118748E-4,1.1290922633347315E-4,2400,485,3.6535216806504533E-4,0.0018079282543424923
416,0,Healthy,1,CADC0884,5,495,Long,100,0.44963735400000004,0.17641089341223523,High,0.4200129681476933,-1.467135224623707,0.31374650970940393,1,Medium,Simple,1,1,9,22,8.337793655789901E-4,1.0591500897755156E-4,2475,500,3.5638564325704086E-4,0.0017641089341223523
417,0,Healthy,0,CADC0884,5,490,Long,99,0.4471570801010101,0.1747720316832461,High,0.4180574502185628,-1.4468932758775337,0.32674078031219317,1,Medium,Simple,1,1,8,23,8.263695282028143E-4,6.136694816962263E-5,2450,495,3.5667761568009405E-4,0.0017653740574065263
418,0,Healthy,1,CADC0884,5,490,Long,99,0.46693515353535353,0.18381700113920757,High,0.42873884958003,-1.4489820906706654,0.307561678301684,1,Medium,Simple,1,1,5,24,8.66280952167143E-4,6.760212884742277E-5,2450,495,3.75136737018791E-4,0.001856737385244521
419,0,Healthy,1,CADC0884,5,495,Long,100,0.47167696989999996,0.19692916182751105,High,0.443767013000641,-1.4266258925226696,0.3715246081991266,1,Medium,Simple,1,1,9,22,9.257745733090223E-4,8.992266533629604E-5,2475,500,3.9783669056062836E-4,0.0019692916182751105
420,0,Healthy,0,CADC0884,5,475,Long,96,0.4743670541666667,0.1909889482506041,High,0.4370228234893506,-1.4133037634159165,0.3967348103475012,1,Medium,Simple,1,1,10,19,0.001033301848483885,2.0533435180567218E-4,2375,480,4.020819963170613E-4,0.0019894682109437927
421,0,Healthy,0,CADC0884,5,505,Long,102,0.42788687843137263,0.15423752753929232,High,0.3927308589088618,-1.247018505852078,0.5484232889709791,1,Medium,Simple,1,1,10,28,8.101584343062386E-4,9.971739811683797E-5,2525,510,3.0542084661246003E-4,0.0015121326229342385
422,0,Healthy,1,CADC0884,5,440,Long,89,0.3490531707865168,0.10936664420307689,High,0.3307062808642692,-1.3037147455190896,0.5799816198821022,1,Medium,Simple,1,1,7,13,8.389335397737345E-4,2.603554625517165E-4,2200,445,2.4856055500699294E-4,0.0012288386989109763
423,0,Healthy,1,CADC0884,5,505,Long,102,0.4296718519607844,0.16020425229957644,High,0.4002552339440128,-1.2863691299269338,0.5248651226614576,1,Medium,Simple,1,1,7,20,8.338576613519444E-4,1.6575104444864445E-4,2525,510,3.1723614316747807E-4,0.0015706299245056513
424,0,Healthy,1,CADC0884,5,475,Long,96,0.41486893541666664,0.17104427613402728,High,0.41357499457054614,-1.3538737824337717,0.4920845669612822,1,Medium,Simple,1,1,9,25,9.635950219270431E-4,1.4022176119311884E-4,2375,480,3.600932129137417E-4,0.0017817112097294509
425,0,Healthy,1,CADC0884,5,530,Long,107,0.37972181149532713,0.16132233339786803,High,0.4016495156201088,-1.2272991677044724,0.5740419508240183,1,Medium,Simple,1,1,11,27,7.461280994051583E-4,9.431160539281289E-5,2650,535,3.043817611280529E-4,0.0015076853588585797
426,0,Healthy,1,CADC0884,5,555,Long,112,0.424426425,0.17795232730192886,High,0.42184396084562936,-1.407554856214682,0.4212499713099642,1,Medium,Simple,1,1,10,22,7.415282398735135E-4,1.9835954283818193E-4,2775,560,3.206348239674394E-4,0.0015888600651957935
427,0,Healthy,0,CADC0884,5,630,Long,127,0.4050869937007873,0.17955856540891107,High,0.42374351370718477,-1.3822919830002627,0.4799607171248217,2,Medium,Moderate,1,1,12,26,6.046145791249206E-4,1.0334432311215997E-4,3150,635,2.8501359588716045E-4,0.0014138469717237092
428,0,Healthy,1,CADC0884,5,620,Long,125,0.40911499919999994,0.17558719428802572,High,0.4190312569344031,-1.3942633050908444,0.45796294681535454,1,Medium,Simple,1,1,14,23,6.090048347340325E-4,1.595103197808136E-4,3100,625,2.8320515207746084E-4,0.0014046975543042057
429,0,Healthy,0,CADC0884,5,620,Long,125,0.3903554564,0.18955678932963715,High,0.43538120001860114,-1.2078225776662312,0.6189020992756833,1,Medium,Simple,1,1,9,24,6.973034224355242E-4,9.977842372703239E-5,3100,625,3.057367569832857E-4,0.0015164543146370972
430,0,Healthy,1,CADC0884,5,595,Long,120,0.4113571160833333,0.19363857808315382,High,0.44004383654717155,-1.2281085807348036,0.5922767334982192,1,Medium,Simple,1,1,10,19,7.835742455446675E-4,1.7296720064300733E-4,2975,600,3.254429883750484E-4,0.0016136548173596153
431,0,Healthy,1,CADC0884,5,695,Long,140,0.4407520425714286,0.19739825033638175,High,0.4442952288021803,-1.201875315397058,0.6308205778536456,2,Medium,Moderate,1,1,17,45,6.399098495255771E-4,1.454028161081448E-4,3475,700,2.8402625947680825E-4,0.0014099875024027268
432,0,Healthy,1,CADC0884,5,665,Long,134,0.42075528507462684,0.15016224704776543,High,0.3875077380488878,-1.3858350169757048,0.44846647739310386,2,Medium,Moderate,1,1,20,40,4.610943688499317E-4,8.89774130646973E-5,3325,670,2.2580789029739162E-4,0.0011206137839385479
433,0,Healthy,0,CADC0884,5,770,Long,155,0.3567922406451613,0.1545165754947993,High,0.39308596451005384,-1.1685023796071896,0.644834554195536,1,Medium,Simple,1,1,7,12,4.4526183616199735E-4,2.1210673011633988E-4,3850,775,2.0067087726597312E-4,9.968811322245115E-4
434,0,Healthy,1,CADC0884,5,765,Long,154,0.3276229948051948,0.14496608042405904,High,0.3807441141029747,-1.1927363664358215,0.6581924479496735,1,Medium,Simple,1,1,14,21,4.1263908238836595E-4,1.3333680396055933E-4,3825,770,1.894981443451752E-4,9.413381845718119E-4
435,0,Healthy,1,CADC0884,5,830,Long,167,0.2264603606586826,0.0831689904182288,High,0.2883903438366632,-0.837962579803492,0.8699466863890988,2,Medium,Moderate,1,1,12,27,2.2162952461867344E-4,5.216978002557197E-5,4150,835,1.0020360291352868E-4,4.980179066959808E-4
436,0,Healthy,1,CADC0884,5,780,Long,157,0.23878516878980893,0.08985489447758975,High,0.2997580599042997,-0.8497195012996839,0.8539007018330359,1,Medium,Simple,1,1,4,20,2.919221308696154E-4,1.594976816696774E-4,3900,785,1.151985826635766E-4,5.723241686470685E-4
437,0,Healthy,0,CADC0884,5,790,Long,159,0.288015008490566,0.13929475754143303,High,0.3732221289546388,-0.8710801697596495,0.8774773659439528,1,Medium,Simple,1,1,9,20,4.202780622952089E-4,1.1266938062672107E-4,3950,795,1.7632247790054812E-4,8.760676574932895E-4
438,0,Healthy,1,CADC0884,5,810,Long,163,0.25957845306748467,0.0662459968781287,High,0.2573829770558432,-1.2978124406800913,0.5784887613088646,2,Medium,Moderate,1,1,16,32,1.7137259587590495E-4,6.848408545782116E-5,4050,815,8.178518133102308E-5,4.0641715876152574E-4
439,0,Healthy,1,CADC0884,5,860,Long,173,0.2827022401734104,0.08658585916084119,High,0.29425475214657315,-1.2411028591953115,0.6616351810580091,1,Medium,Simple,1,1,31,47,2.0936097884346203E-4,5.921448451010242E-5,4300,865,1.0068123158237347E-4,5.004962957274057E-4
440,0,Healthy,0,CADC0884,5,715,Long,144,0.351028160625,0.17463824214586796,High,0.4178974062444848,-1.0954339063414897,0.7471798121176594,1,Medium,Simple,1,1,13,24,5.709533219439492E-4,1.3489440427127757E-4,3575,720,2.4424928971450064E-4,0.0012127655704574163
441,0,Healthy,1,CADC0884,5,805,Long,162,0.2871934913580247,0.12176506262984535,High,0.3489485099980302,-1.1905116097809394,0.7031303142338738,1,Medium,Simple,1,1,13,24,3.095395772001242E-4,4.9311143499375E-5,4025,810,1.512609473662675E-4,7.516361890731194E-4
442,0,Healthy,1,CADC0884,5,825,Long,166,0.2730763031325302,0.10281746982407845,High,0.32065163312242534,-1.2632163472202456,0.6439808293008952,1,Medium,Simple,1,1,10,26,2.494854650740412E-4,6.76796832106975E-5,4125,830,1.2462723615039813E-4,6.19382348337822E-4
443,1,Anomalous,1,CADC0873,1,289,Medium,290,-1.071573578275862E-5,2.7219739244729657E-10,Low,1.649840575471753E-5,-1.4115365863417595,-0.021957786128297702,2,High,Moderate,2,2,1,8,1.5711540896592219E-12,2.8603939668623684E-12,289,290,9.418594894370123E-13,9.386116980941261E-13
444,1,Anomalous,0,CADC0873,1,501,Long,502,5.773268397808765E-6,4.4126767615758726E-10,Low,2.100637227504043E-5,-0.45085468639069504,-0.39018372003288715,4,High,Complex,4,4,4,8,2.4974897038821384E-11,5.891639646721521E-11,501,502,8.80773804705763E-13,8.790192752143172E-13
445,0,Healthy,1,CADC0873,1,254,Medium,255,-2.194139007843137E-5,1.50605151613149E-10,Low,1.227212905787537E-5,-1.1314487787689194,-0.613929616897912,1,Low,Simple,1,1,81,84,2.2520793806091507E-13,6.014457538898122E-13,254,255,5.929336677683032E-13,5.906084376986236E-13
446,1,Anomalous,1,CADC0873,1,305,Medium,306,1.0027554398039216E-5,4.947987851411544E-10,Low,2.2244073033982656E-5,-1.2030433114404222,-0.06088689087418858,1,High,Simple,1,1,1,1,4.711994827072925E-12,9.190753074738547E-12,305,306,1.6222910988234571E-12,1.6169894939253412E-12
447,1,Anomalous,1,CADC0873,1,263,Medium,264,-7.449758527651515E-6,4.1881647193176115E-10,Low,2.046500603302528E-5,-0.8731875899637767,-0.314248248922415,2,High,Moderate,2,2,2,4,4.243098659800062E-11,1.1750729040888304E-10,263,264,1.5924580681816013E-12,1.58642603004455E-12
448,0,Healthy,1,CADC0873,1,252,Medium,253,-7.731730199881423E-6,4.764884514377453E-10,Low,2.1828615426493392E-5,-1.3868801890581055,-0.0996677503306829,1,Low,Simple,1,1,74,84,5.224590387530515E-13,7.137833951482998E-13,252,253,1.890827188245021E-12,1.8833535629950406E-12
449,0,Healthy,0,CADC0873,1,264,Medium,265,1.5422092244150955E-6,7.702717784533665E-10,Low,2.775377052678368E-5,-1.4830691774939861,0.026237261589663687,1,Low,Simple,1,1,80,90,6.744131629211695E-13,7.451652993254005E-13,264,265,2.917696130505176E-12,2.906685956427798E-12
450,1,Anomalous,0,CADC0873,1,494,Long,495,-4.749823359595952E-7,2.442024987096912E-10,Low,1.5626979833278444E-5,0.12721375689649728,-0.5310672970742335,3,High,Moderate,2,2,2,3,2.1044822621369288E-11,6.090794615233343E-11,494,495,4.943370419224519E-13,4.933383812316994E-13
451,1,Anomalous,1,CADC0873,1,268,Medium,269,-1.8914122591078062E-6,1.7406220774584521E-10,Low,1.3193263726077987E-5,-1.381205364670891,0.12499757699959765,2,High,Moderate,2,2,1,4,2.791701295818117E-12,5.9035816930570974E-12,268,269,6.4948584979793E-13,6.470714042596476E-13
452,1,Anomalous,0,CADC0873,1,255,Medium,256,-3.749100781250004E-7,2.2769468179640742E-10,Low,1.5089555387631784E-5,-1.4282180430948879,-0.07202255045483867,1,High,Simple,1,1,41,48,6.326151257734021E-13,1.1597879540134968E-12,255,256,8.929203207702251E-13,8.894323507672165E-13
453,1,Anomalous,1,CADC0873,1,525,Long,526,-7.011938404942958E-7,2.347243010782354E-10,Low,1.5320714770474497E-5,-0.7189908976565844,-0.8049939104405839,1,High,Simple,1,1,160,178,2.531519965864975E-13,5.989030983118799E-13,525,526,4.470939068156864E-13,4.46243918399687E-13
454,0,Healthy,1,CADC0873,1,293,Medium,294,1.7511297823129246E-6,7.407908429495359E-10,Low,2.7217473118376288E-5,-1.5095549310792469,0.06887403741694426,1,Low,Simple,1,1,91,100,6.059505388568534E-13,8.076917411073521E-13,293,294,2.5282963923192354E-12,2.519696744726313E-12
455,0,Healthy,1,CADC0873,1,226,Medium,227,-1.2951803017621147E-5,3.621002617716588E-10,Low,1.9028932228889218E-5,-1.4832858146410732,-0.02990432334974155,1,Low,Simple,1,1,68,73,5.33179355950344E-13,7.477196336665612E-13,226,227,1.602213547662207E-12,1.59515533820114E-12
456,0,Healthy,1,CADC0873,1,229,Medium,230,-2.800124391304348E-6,6.889553192875968E-10,Low,2.6247958383226625E-5,-1.4812499045570486,-0.06732147620628184,1,Low,Simple,1,1,57,70,8.735331875399244E-13,9.261943209244133E-13,229,230,3.008538512172912E-12,2.9954579099460732E-12
457,1,Anomalous,1,CADC0873,1,230,Medium,231,-5.764011471861473E-6,6.254211151514806E-10,Low,2.5008420884803594E-5,-0.8148714287875949,0.37370896817441296,1,High,Simple,1,1,1,1,8.440556981368867E-12,1.6065785942281647E-11,230,231,2.7192222397890457E-12,2.7074507149414742E-12
458,1,Anomalous,0,CADC0873,1,214,Medium,215,4.75330381395349E-6,5.228220517008924E-10,Low,2.286530235314837E-5,-0.8951683248943021,-0.45983880369160424,1,High,Simple,1,1,29,40,1.1654959878127055E-12,1.9937140701465585E-12,214,215,2.44309369953688E-12,2.4317304730274065E-12
459,0,Healthy,1,CADC0873,1,204,Medium,205,-3.0157512375609747E-6,2.7084853287051604E-10,Low,1.645747650372061E-5,-0.844144120870578,-0.6091176084344226,1,Low,Simple,1,1,44,53,1.0625272962586865E-12,2.299555161334394E-12,204,205,1.3276888866201766E-12,1.3212123554659319E-12
460,0,Healthy,1,CADC0873,1,255,Medium,256,5.003626210937505E-7,5.699173519065016E-10,Low,2.387294183603063E-5,-1.502005608727575,-0.004382721281794213,1,Low,Simple,1,1,55,66,1.2025695558046537E-12,2.5494989114525476E-12,255,256,2.234970007476477E-12,2.226239655884772E-12
461,0,Healthy,1,CADC0873,1,224,Medium,225,-1.77322328888889E-6,2.3508038810315627E-10,Low,1.533233146338665E-5,-0.962063640554359,-0.42972209646826287,1,Low,Simple,1,1,52,63,9.039674529640722E-13,2.016029430514324E-12,224,225,1.049466018317662E-12,1.0448017249029167E-12
462,0,Healthy,1,CADC0873,1,215,Medium,216,5.072232648148149E-6,2.419191576291416E-10,Low,1.5553750596854173E-5,-1.3008245404737635,-0.0921963792258525,2,Low,Moderate,1,1,27,31,1.16061332370117E-12,2.8262339652568E-12,215,216,1.125205384321589E-12,1.1199961001349149E-12
463,1,Anomalous,1,CADC0873,1,202,Medium,203,-6.9798363743842375E-6,1.6379542426209222E-10,Low,1.2798258641787648E-5,-1.2452389731108764,-0.14701212688863097,2,High,Moderate,2,1,17,31,2.309042628891923E-12,5.41242986242641E-12,202,203,8.108684369410505E-13,8.068740111433114E-13
464,1,Anomalous,1,CADC0873,1,291,Medium,292,-4.447216589041096E-6,4.089422042957811E-10,Low,2.0222319458849945E-5,-1.0053744562468685,0.1460355115778962,2,High,Moderate,2,2,2,8,7.849178437575183E-12,1.6104291712436322E-11,291,292,1.4052996711195228E-12,1.400487001012949E-12
465,1,Anomalous,1,CADC0873,1,237,Medium,238,1.511107478991596E-6,3.090228345103183E-10,Low,1.7579045324201148E-5,-0.07952568399435611,-0.8162222758285417,2,High,Moderate,2,2,2,3,5.1021887680935E-11,1.457189584963325E-10,237,238,1.3038938164992333E-12,1.2984152710517574E-12
466,1,Anomalous,0,CADC0873,1,207,Medium,208,-2.909289697115385E-6,4.383230371389899E-10,Low,2.0936165769762857E-5,-0.7578909408955652,-0.6558059189751202,2,High,Moderate,2,2,6,11,5.786538623029464E-12,1.2057196826073732E-11,207,208,2.1175025948743476E-12,2.1073222939374516E-12
467,1,Anomalous,1,CADC0873,1,227,Medium,228,5.746536894736844E-6,7.876351447803832E-10,Low,2.8064838228295264E-5,-1.142303519330636,-0.2242401355029765,1,High,Simple,1,1,6,6,3.4888166318360093E-12,6.77732976546407E-12,227,228,3.469758347050146E-12,3.4545401086858912E-12
468,1,Anomalous,1,CADC0873,1,203,Medium,204,-2.428640838235295E-6,4.356715378702853E-10,Low,2.087274629439752E-5,-0.6213584834457739,-0.6428609021149603,1,High,Simple,1,1,11,12,3.270923624772563E-12,7.848802751414099E-12,203,204,2.1461652111836713E-12,2.135644793481791E-12
469,0,Healthy,1,CADC0873,1,210,Medium,211,-8.219217886255925E-6,6.59328544961749E-10,Low,2.5677393655933014E-5,-1.4953519885974271,-0.017829181891204384,1,Low,Simple,1,1,24,50,1.925264361424772E-12,3.250151561122375E-12,210,211,3.1396597379130905E-12,3.124779833941938E-12
470,0,Healthy,1,CADC0873,1,203,Medium,204,-1.345735617647059E-6,8.16664291864438E-10,Low,2.8577338782056632E-5,-1.4935574863373338,-0.015732699473455205,1,Low,Simple,1,1,44,57,2.287184156542632E-12,3.997934869053754E-12,203,204,4.022976807213981E-12,4.003256332668814E-12
471,0,Healthy,1,CADC0873,1,182,Medium,183,-3.4398522131147544E-6,3.649975586443212E-10,Low,1.9104909281237668E-5,-0.7475563602266311,-0.6938426569494647,1,Low,Simple,1,1,21,25,1.835024441924782E-12,4.197235567244979E-12,182,183,2.0054810914523145E-12,1.994522178384269E-12
472,0,Healthy,1,CADC0873,1,208,Medium,209,3.701089071770335E-6,3.5582595495200685E-10,Low,1.886334951571451E-5,-0.9450611166901584,-0.4554031165665406,1,Low,Simple,1,1,46,52,1.5466609262989655E-12,3.4636007463956113E-12,208,209,1.7107017065000329E-12,1.7025165308708463E-12
473,1,Anomalous,1,CADC0873,1,225,Medium,226,3.161302659292033E-7,3.383208085041524E-10,Low,1.8393499082669192E-5,-1.2414977471014432,-0.011359904498848007,2,High,Moderate,2,1,8,15,3.986197024701912E-12,8.08635619393976E-12,225,226,1.5036480377962329E-12,1.4969947278944796E-12
474,1,Anomalous,1,CADC0873,1,175,Medium,176,-3.643050717045455E-6,4.842687947996303E-11,Low,6.958942411025043E-6,-0.8419861801360411,-0.6132750172084654,2,High,Moderate,1,1,10,9,1.8743677328866224E-12,4.296545750825645E-12,175,176,2.767250255997887E-13,2.7515272431797176E-13
475,1,Anomalous,1,CADC0873,1,196,Medium,197,4.515496298984771E-6,1.16578473930887E-10,Low,1.0797151195148051E-5,-1.2208385814724616,-0.061299276427690744,1,High,Simple,1,1,13,10,9.366889437909698E-13,1.8417656214439857E-12,196,197,5.947881323004439E-13,5.917689032024721E-13
476,0,Healthy,0,CADC0873,1,208,Medium,209,1.8081764545454545E-6,2.723322066854819E-10,Low,1.6502490923660036E-5,-1.2845208616127828,-0.1598704707932483,2,Low,Moderate,1,1,11,17,1.441780375711566E-12,3.5969102878390585E-12,208,209,1.309289455218663E-12,1.3030249123707268E-12
477,0,Healthy,1,CADC0873,1,230,Medium,231,3.937554316883117E-6,3.3679348282692854E-10,Low,1.8351934035052777E-5,-1.3584740499043622,-0.01826242207304166,2,Low,Moderate,1,1,22,34,1.0912037926857903E-12,2.4280080214580158E-12,230,231,1.4643194905518632E-12,1.4579804451382188E-12
478,0,Healthy,0,CADC0873,1,176,Medium,177,-1.0146516167231638E-5,1.281946759081508E-10,Low,1.1322308771101008E-5,-0.8984018809689247,-0.554533797744543,3,Low,Moderate,1,1,33,28,1.1011815714972953E-12,2.954404638521812E-12,176,177,7.283788403872205E-13,7.242637056957673E-13
479,0,Healthy,1,CADC0873,1,224,Medium,225,1.8510598311111115E-6,7.432171825657013E-10,Low,2.7262009877587918E-5,-1.382705161335377,-0.0681610326284322,1,Low,Simple,1,1,31,30,1.897981619945222E-12,3.7268766282100735E-12,224,225,3.3179338507397377E-12,3.3031874780697835E-12
480,0,Healthy,1,CADC0873,1,197,Medium,198,-5.828678505050504E-6,4.867820742541308E-10,Low,2.206313835913039E-5,-1.242940606465222,-0.18919623420440138,2,Low,Moderate,1,1,13,18,2.146278402970282E-12,5.156769319620442E-12,197,198,2.470974996213862E-12,2.4584953245158124E-12
481,0,Healthy,1,CADC0873,1,203,Medium,204,6.590171489705881E-6,7.36860693629087E-10,Low,2.714517809168116E-5,-1.4160510289567063,-0.009546088909102206,1,Low,Simple,1,1,42,42,1.6707309694857596E-12,3.052693683044647E-12,203,204,3.6298556336408223E-12,3.612062223671995E-12
482,0,Healthy,1,CADC0873,1,199,Medium,200,2.9080754549999997E-6,7.718210999515856E-10,Low,2.778166841555031E-5,-1.49490185710512,0.018579552067650856,1,Low,Simple,1,1,42,45,1.4196994748544984E-12,1.8345575366673086E-12,199,200,3.87849798970646E-12,3.859105499757928E-12
483,0,Healthy,1,CADC0873,1,195,Medium,196,1.784363336734695E-6,6.133474307691102E-10,Low,2.476585211070094E-5,-1.489031127272882,0.0305735977017212,1,Low,Simple,1,1,51,60,1.1231518481531078E-12,1.4115140813317076E-12,195,196,3.145371439841591E-12,3.1293236263730115E-12
484,1,Anomalous,1,CADC0873,1,179,Medium,180,-9.469137600000001E-6,2.0278668235541396E-10,Low,1.4240318899358046E-5,-1.4730875577197486,-0.03439804526723614,2,High,Moderate,1,1,14,20,1.2307374206461425E-12,2.7670566562543593E-12,179,180,1.1328864936056645E-12,1.1265926797522997E-12
485,0,Healthy,1,CADC0873,1,202,Medium,203,8.997633251231528E-7,4.83584970740144E-10,Low,2.1990565493869045E-5,-1.5038101806953326,0.006758003140937551,1,Low,Simple,1,1,42,47,1.3511838648443083E-12,2.566105217817792E-12,202,203,2.393985003664079E-12,2.382191974089379E-12
486,0,Healthy,1,CADC0873,1,181,Medium,182,-1.763306506593408E-6,2.1547278128428986E-10,Low,1.4678991153491777E-5,-0.7732430976718523,-0.682436974192708,1,Low,Simple,1,1,46,49,6.345370749458991E-13,1.441671941932635E-12,181,182,1.1904573551618223E-12,1.1839163806829113E-12
487,0,Healthy,1,CADC0873,1,191,Medium,192,1.7455067661458326E-6,2.0592436970607993E-10,Low,1.4350065146405431E-5,-0.6752673383769361,-0.6910872643507323,1,Low,Simple,1,1,38,36,1.1489370704666642E-12,2.7818989754927835E-12,191,192,1.0781380612883767E-12,1.072522758885833E-12
488,0,Healthy,1,CADC0873,1,199,Medium,200,-9.35900535E-8,3.1580791052330947E-10,Low,1.7770985074646522E-5,-1.4665972678536416,-0.04873811405451189,1,Low,Simple,1,1,34,31,1.168080676642814E-12,2.7144914080095786E-12,199,200,1.5869744247402485E-12,1.5790395526165474E-12
489,0,Healthy,1,CADC0873,1,195,Medium,196,-4.639189219387755E-6,2.2115026070738162E-10,Low,1.4871121703065362E-5,-1.5240314259982577,0.03878032984562165,2,Low,Moderate,1,1,19,31,1.6658832654921583E-12,4.31010320345537E-12,195,196,1.1341039010634956E-12,1.1283176566703144E-12
490,0,Healthy,1,CADC0873,1,181,Medium,182,3.452827120879121E-6,2.3927402465451895E-10,Low,1.5468484885550973E-5,-1.1398700443260736,-0.2785221364409244,1,Low,Simple,1,1,41,42,7.742719983896893E-13,1.5719687633441428E-12,181,182,1.3219559373177842E-12,1.3146924431566976E-12
491,0,Healthy,1,CADC0873,1,201,Medium,202,1.0183377326732672E-6,3.6778546320540927E-10,Low,1.9177733526290567E-5,-0.9139039012714756,-0.4742773934177193,1,Low,Simple,1,1,43,53,1.5282867064622908E-12,3.370489763973797E-12,201,202,1.8297784239075087E-12,1.820720114878264E-12
